"";"Ubicac.técnica";"Equipo";"Tipo.de.equipo";"Equipo.superior";"Eq.padre";"Sistema";"Comp"
"274";"1003-MI1-EACA-WARR-WAR2023";400000020;"T";"0";"400000020";"0";"0"
"275";"1003-MI1-EACA-WARR-WAR2003";400000021;"T";"0";"400000021";"0";"0"
"276";"1003-MI1-EACA-WARR-WAR2025";400000022;"T";"0";"400000022";"0";"0"
"277";"1003-MI1-EACA-WARR-WAR2027";400000023;"T";"0";"400000023";"0";"0"
"278";"1003-MI1-ESOS-LCON-LCO2002";400000024;"T";"0";"400000024";"0";"0"
"279";"1003-MI1-ESOS-LCON-LCO2005";400000025;"T";"0";"400000025";"0";"0"
"280";"1003-MI1-ESOS-LCON-LCO2006";400000026;"T";"0";"400000026";"0";"0"
"281";"1003-MI1-ESOS-LCON-LCO2004";400000027;"T";"0";"400000027";"0";"0"
"282";"1003-MI1-EACA-CMIN-CMI2006";400000028;"T";"0";"400000028";"0";"0"
"283";"1003-MI1-EACA-CMIN-CMI2006";400000029;"T";"0";"400000029";"0";"0"
"284";"1003-MI1-EACA-CMIN-CMI2006";400000030;"T";"0";"400000030";"0";"0"
"285";"1003-MI1-EACA-CMIN-CMI2006";400000031;"T";"0";"400000031";"0";"0"
"286";"1003-MI1-EACA-CMIN-CMI2006";400000032;"T";"0";"400000032";"0";"0"
"287";"1003-MI1-EACA-CMIN-CMI2006";400000033;"T";"0";"400000033";"0";"0"
"288";"1003-MI1-ECAR-SCOO-SCO2155";400000034;"T";"0";"400000034";"0";"0"
"289";"1003-MI1-EACA-WARR-WAR2014";400000035;"T";"0";"400000035";"0";"0"
"290";"1003-MI1-ESOS-LCON-LCO2007";400000036;"T";"0";"400000036";"0";"0"
"291";"1003-MI1-EACA-WARR-WAR2016";400000037;"T";"0";"400000037";"0";"0"
"292";"1003-MI1-EACA-WARR-WAR2028";400000038;"T";"0";"400000038";"0";"0"
"293";"1003-MI1-EACA-WARR-WAR2030";400000039;"T";"0";"400000039";"0";"0"
"294";"1003-MI1-EACA-WARR-WAR2036";400000040;"T";"0";"400000040";"0";"0"
